numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
7263871448497310,5042024,Artigo Publicado,CARCINICULTURA NO ESTADO DO MARANHÃ?O: EVOLUÃ?Ã?O E PERSPECTIVAS FUTURAS,2023.0,,,,REVISTA BRASILEIRA DE ENGENHARIA DE PESCA / BRAZILIAN JOURNAL OF FISHING ENGINEERING,,,"MACHADO FERREIRA, MATHEUS WILLY (MACHADO FERREIRA, MATHEUS WILLY), Santos, Jadson Pinheiro (Santos, Jadson Pinheiro), SANTOS FERREIRA, ACHILLES NINA (SANTOS FERREIRA, ACHILLES NINA), Bruna Larissa Ferreira de Carvalho (Ferreira de Carvalho, Bruna Larissa), CAVALCANTE BEZERRA, JOÃO HENRIQUE (CAVALCANTE BEZERRA, JOÃO HENRIQUE), SILVA DE BRITO, PÂMELLA (SILVA DE BRITO, PÂMELLA), GUIMARÃES, ERICK CRISTOFORE (GUIMARÃES, ERICK CRISTOFORE), SOUSA SOARES, JESSICA ADRIANE LEITE (SOUSA SOARES, JESSICA ADRIANE LEITE), SANTOS DE CASTRO, CLAÚDIO URBANO (SANTOS DE CASTRO, CLAÚDIO URBANO), DE ANDRADE, THALLES PASSOS (DE ANDRADE, THALLES PASSOS)",B2
2660500676381170,9042024,Artigo Publicado,Do desespero à fragmentação da vida:,2020.0,,,,TRILHAS FILOSÓFICAS (ONLINE),,,"Leonardo Silva Sousa (SOUSA, LEONARDO SILVA)",C
2660500676381170,9042024,Artigo Publicado,DIÁLOGOS SOBRE A ESTÉTICA NA CONTEMPORANEIDADE: A BELEZA DOS CULTOS ÀS ENTIDADES E AO ESPÍRITO SANTO EM SÃO LUÍS-MA,2021.0,,,,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,,,"FAÇANHA, LUCIANO DA SILVA (FAÇANHA, LUCIANO DA SILVA), aynara Pereira Silveira (SILVEIRA, A. P.), ana caroline amorim oliveira ) (OLIVEIRA , A. C. A.), Conceição de Maria Belfort (BELFORT, C. M.), Zilmara de Jesus Viana de Carvalho (CARVALHO, Z. J. V.), Kamila Fernanda Barbosa Sampaio (SAMPAIO, K. F. B.), Leonardo Silva Sousa (SOUSA, LEONARDO SILVA)",A1
2660500676381170,9042024,Artigo Publicado,LEITURA COMO EXPERIÊNCIA CRÍTICA E EMANCIPATÓRIA: PROPOSIÇÃO À CONSTRUÇÃO DO LEITOR-PROBLEMATIZADOR COM A LITERATURA E A FILOSOFIA,2023.0,,,,AFLUENTE,,,"Leonardo Silva Sousa (SOUSA, LEONARDO SILVA), Ana patricia sá martins (SÁ MARTINS)",A1
