tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis,,
Artigo Publicado,Mental Health Ubiquitous Monitoring Supported by Social Situation Awareness: A Systematic Review,2020,,,,JOURNAL OF BIOMEDICAL INFORMATICS,,,"MOURA, IVAN (MOURA, IVAN), Ariel Soares Teles (Teles, Ariel), SILVA, FRANCISCO (SILVA, FRANCISCO), VIANA, DAVI (VIANA, DAVI), COUTINHO, LUCIANO (COUTINHO, LUCIANO), BARROS, FLÁVIO (BARROS, FLÁVIO), Markus Endler (ENDLER, Markus)",B2,,
Artigo Publicado,Evoluindo uma aplicação para Cidades Inteligentes através de Avaliação de Métricas de Qualidade e Usabilidade,2020,,,,iSys - Revista Brasileira de Sistemas de Informação,,,"ARAGÃO, ALEXANDRE (ARAGÃO, ALEXANDRE), COSTA, INALDO (COSTA, INALDO), MACHADO, LUCAS (MACHADO, LUCAS), MORENO, NATHYANE (MORENO, NATHYANE), VIANA, DAVI (VIANA, DAVI), SILVA, FRANCISCO (SILVA, FRANCISCO), SOUSA, TÉRCIO (SOUSA, TÉRCIO), RIVERO, LUIS (RIVERO, LUIS), Ariel Soares Teles (Teles, Ariel), DA CONCEIÇÃO, ARLINDO F. (DA CONCEIÇÃO, ARLINDO F.)",A2,,
Artigo Publicado,Mobile Applications for Assessing Human Posture: A Systematic Literature Review,2020,,,,ELECTRONICS,,,"MOREIRA, RAYELE (MOREIRA, RAYELE), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), Ariel Soares Teles (Teles, Ariel), FIALHO, RENAN (FIALHO, RENAN), BALUZ, RODRIGO (BALUZ, RODRIGO), SANTOS, THALYTA CIBELE (SANTOS, THALYTA CIBELE), GOULART-FILHO, RÔMULO (GOULART-FILHO, RÔMULO), ROCHA, LAIANE (ROCHA, LAIANE), Silva, Francisco José (Silva, Francisco José), GUPTA, NISHU (GUPTA, NISHU)",A3,,
Artigo Publicado,Time estimation exposure modifies cognitive aspects and cortical activity of attention deficit hyperactivity disorder adults,2020,,,,INTERNATIONAL JOURNAL OF NEUROSCIENCE,,,"FONTES, RHAILANA MEDEIROS (FONTES, RHAILANA MEDEIROS), GUPTA, DAYA S. (GUPTA, DAYA S.), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO), Ariel Soares Teles (Teles, Ariel Soares), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), MARINHO, VICTOR (MARINHO, VICTOR), CARVALHO, VALÉCIA (CARVALHO, VALÉCIA), ROCHA, KALINE (ROCHA, KALINE), MAGALHÃES, FRANCISCO (MAGALHÃES, FRANCISCO), MOURA, IRIS (MOURA, IRIS), RIBEIRO, PEDRO (RIBEIRO, PEDRO), VELASQUES, BRUNA (VELASQUES, BRUNA), CAGY, MAURICIO (CAGY, MAURICIO)",A1,,
Artigo Publicado,Um jogo sério baseado em gestos para a reabilitação motora de membros superiores,2020,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"BALUZ, RODRIGO AUGUSTO ROCHA SOUZA (BALUZ, RODRIGO AUGUSTO ROCHA SOUZA), FONTENELE, JOSÉ EVERTON DA SILVA (FONTENELE, JOSÉ EVERTON DA SILVA), Ariel Soares Teles (Teles, Ariel Soares), NASCIMENTO, RENAN FIALHO DO (NASCIMENTO, RENAN FIALHO DO), SANTOS, RAYELE PRICILA MOREIRA DOS (SANTOS, RAYELE PRICILA MOREIRA DOS), BASTOS, VICTOR HUGO DO VALE (BASTOS, VICTOR HUGO DO VALE), TEIXEIRA, SILMAR SILVA (TEIXEIRA, SILMAR SILVA)",A1,,
Artigo Publicado,Uma Arquitetura para a Distribuição Segura de Dados de Contexto em Aplicações de Internet das Coisas Móveis,2020,,,,REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC,,,"André Cardoso (CARDOSO, A.), Thiago Wallass Mendes (MENDES, T. W.), Ariel Soares Teles (SOARES TELES, ARIEL), Francisco José da Silva e Silva (SILVA, F. J. S. E.)",A3,,
Artigo Publicado,Internet das Coisas Aplicada ao Gerenciamento de Presença e Encontros de Pessoas em Prédios Inteligentes,2020,,,,REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC,,,"Thiago Wallass Mendes (MENDES, T. W.), André Cardoso (CARDOSO, A.), Alysson Silva (SILVA, A.), Daniel Carvalho (CARVALHO, D.), Marcos Paulino Roriz Junior (RORIZ JUNIOR, M. P.), Markus Endler (ENDLER, Markus), Ariel Soares Teles (SOARES TELES, ARIEL), Francisco José da Silva e Silva (SILVA, F. J. S. E.)",A3,,
Artigo Publicado,An Augmented Reality-Based Mobile Application Facilitates the Learning about the Spinal Cord,2020,,,,Education Sciences,,,"FERNANDES, JACKS (FERNANDES, JACKS), Ariel Soares Teles (Teles, Ariel), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR)",B4,,
Artigo Publicado,Recognizing Context-Aware Human Sociability Patterns Using Pervasive Monitoring for Supporting Mental Health Professionals,2021,,,,SENSORS,,,"DE MOURA, IVAN RODRIGUES (DE MOURA, IVAN RODRIGUES), Ariel Soares Teles (Teles, Ariel Soares), Markus Endler (ENDLER, Markus), COUTINHO, LUCIANO REIS (COUTINHO, LUCIANO REIS), da Silva e Silva, Francisco José (da Silva e Silva, Francisco José)",B4,,
Artigo Publicado,Dempster-Shafer Theory for Modeling and Treating Uncertainty in IoT Applications Based on Complex Event Processing,2021,,,,SENSORS,,,"BEZERRA, EDUARDO DEVIDSON COSTA (BEZERRA, EDUARDO DEVIDSON COSTA), Ariel Soares Teles (Teles, Ariel Soares), COUTINHO, LUCIANO REIS (COUTINHO, LUCIANO REIS), SILVA, FRANCISCO JOSÉ DA SILVA E (SILVA, FRANCISCO JOSÉ DA SILVA E)",B4,,
