numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
3630171389708262,25042024,Artigo Publicado,Strain-Induced Ferrite Formation During Steckel Mill Simulations with Varying Roughing Pass Schedules,2019.0,,,,Metals,,,"Henry Barros Palhano (PALHANO, H.B.), Clodualdo Aranas Jr (Arana Júnior, C.), Samuel Filgueiras Rodrigues (RODRIGUES, S. F.), Eden Santos Silva (Silva, E. S.), SICILIANO, FULVIO (SICILIANO, FULVIO), Edson Jansen Pedrosa de Miranda Junior (MIRANDA JUNIOR, E. J. P.), Gedeon Silva Reis (REIS, G. S.), JONAS, JOHN JOSEPH (JONAS, JOHN JOSEPH)",A2
3630171389708262,25042024,Artigo Publicado,Delay in the static softening kinetics of a Nb-N-bearing austenitic stainless steel,2019.0,,,,Materials Research Express,,,"LEITÃO FILHO, SEBASTIÃO R J B (LEITÃO FILHO, SEBASTIÃO R J B), SILVA, EDEN SANTOS (SILVA, EDEN SANTOS), RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.), ARANAS JR., CLODUALDO (ARANAS JR., CLODUALDO), MIRANDA JR., EDSON JANSEN P (MIRANDA JR., EDSON JANSEN P), Gedeon Silva Reis (REIS, GEDEON SILVA), Balancin, Oscar (Balancin, Oscar)",A1
3630171389708262,25042024,Artigo Publicado,Induced ferrite formation above the Ae3 during plate rolling simulation of a X70 steel,2019.0,,,,MRS Advances,,,"RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.), CARNEIRO, THIAGO B. (CARNEIRO, THIAGO B.), ARANAS, CLODUALDO (ARANAS, CLODUALDO), SILVA, EDEN S. (SILVA, EDEN S.), SICILIANO, FULVIO (SICILIANO, FULVIO), Gedeon Silva Reis (REIS, GEDEON S.), JONAS, JOHN J. (JONAS, JOHN J.)",B1
3630171389708262,25042024,Artigo Publicado,Thermomechanical Behavior of Biocompatible Austenitic Stainless Steels during Simulated Torsion Tests,2019.0,,,,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,,,"Felipe Anderson Silva de Aquino (DE Aquino, F. A.S.), Samuel Filgueiras Rodrigues (RODRIGUES, Samuel. F.), Eden Santos Silva (Silva, E. S.), SICILIANO, FULVIO (SICILIANO, FULVIO), Gedeon Silva Reis (REIS, G. S.)",A2
3630171389708262,25042024,Artigo Publicado,Estudo da eficiência do Orbignya oleifera como inibidor verde de corrosão para aço com baixo teor de carbono comparado com inibidor comercial em solução HCl 1M,2019.0,,,,Materia-Rio de Janeiro,,,"PERES, JHONATAN (PERES, JHONATAN), CONDE, RENATO (CONDE, RENATO), BEZERRA, CAMILLA (BEZERRA, CAMILLA), COSTA, RITA (COSTA, RITA), Gedeon Silva Reis (REIS, GEDEON), SOUZA, MARIA ELIZIANE PIRES DE (SOUZA, MARIA ELIZIANE PIRES DE), NASCIMENTO, CARMEM (NASCIMENTO, CARMEM)",A2
3630171389708262,25042024,Artigo Publicado,Thermomechanical Behavior and Corrosion Resistance of a 316 L Austenitic Stainless Steel,2020.0,,,,MATERIALS SCIENCES AND APPLICATIONS (PRINT),,,"FERREIRA, RAFAEL P. (FERREIRA, RAFAEL P.), NASCIMENTO, CARMEM C. F. (NASCIMENTO, CARMEM C. F.), Gedeon Silva Reis (REIS, GEDEON S.), SILVA, EDEN S. (SILVA, EDEN S.), RODRIGUES, SAMUEL F. (RODRIGUES, SAMUEL F.)",A3
3630171389708262,25042024,Artigo Publicado,Softening-precipitation interaction in a Nb-and N-bearing austenitic stainless steel under stress relaxation,2020.0,,,,Journal of Materials Research and Technology-JMR&T,,,"Elivaldo Ribeiro Sá (Sá, E.R.), Samuel Filgueiras Rodrigues (RODRIGUES, Samuel. F.), Clodualdo Aranas Jr (Arana Júnior, C.), SICILIANO, FULVIO (SICILIANO, FULVIO), Gedeon Silva Reis (REIS, G. S.), José Maria Cabrera (CABRERA, J. M.), Eden Santos Silva (Silva, E. S.)",A3
3630171389708262,25042024,Artigo Publicado,Constitutive Analysis of the Mean Flow Stress of a Nb- and N-Bearing Austenitic Stainless Steel Biomaterial,2020.0,,,,METALS AND MATERIALS INTERNATIONAL,,,"DOS SANTOS FILHO, NELSON LUIS COSTA (DOS SANTOS FILHO, NELSON LUIS COSTA), SILVA, EDEN SANTOS (SILVA, EDEN SANTOS), ARANAS, CLODUALDO (ARANAS, CLODUALDO), SICILIANO, FULVIO (SICILIANO, FULVIO), Gedeon Silva Reis (REIS, GEDEON SILVA), RODRIGUES, SAMUEL FILGUEIRAS (RODRIGUES, SAMUEL FILGUEIRAS)",A4
3630171389708262,25042024,Artigo Publicado,Modelling Propagating Bloch Waves in Magnetoelectroelastic Phononic Structures with Kagomé Lattice Using the Improved Plane Wave Expansion,2020.0,,,,Crystals,,,"Edson Jansen Pedrosa de Miranda Junior (MIRANDA JUNIOR, E. J. P.), Samuel Filgueiras Rodrigues (RODRIGUES, Samuel. F.), Clodualdo Aranas Jr (Arana Júnior, C.), Hélio Vitor Cantanhêde da Silva (Da Silva, H.V.C.), Eden Santos Silva (Silva, E. S.), Gedeon Silva Reis (REIS, G. S.), Antonio Ernandes Macedo Paiva (PAIVA, A. E. M.), José Maria Campos Dos Santos (Dos Santos, J.M.C.)",A3
3630171389708262,25042024,Artigo Publicado,Retransformation of dynamically induced ferrite during physical simulation of Steckel mill hot rolling,2020.0,,,,Journal of Materials Research and Technology-JMR&T,,,"Thiago Bruno Carneiro (Carneiro, T.B.), John Joseph Jonas (JONAS, J. J.), Samuel Filgueiras Rodrigues (RODRIGUES, Samuel. F.), Clodualdo Aranas Jr (Arana Júnior, C.), Fulvio Siciliano (SICILIANO, F.), Eden Santos Silva (Silva, E. S.), Gedeon Silva Reis (REIS, GEDEON S.), Edson Jansen Pedrosa de Miranda Junior (MIRANDA JUNIOR, E. J. P.), Valdemar Silva Leal (LEAL, V. S.), Mohammad Jahazi (Jahazi, M.)",A3
3630171389708262,25042024,Artigo Publicado,Dispersion Diagram of Trigonal Piezoelectric Phononic Structures with Langasite Inclusions,2021.0,,,,Crystals,,,"MIRANDA, EDSON (MIRANDA, EDSON), ARANAS, CLODUALDO (ARANAS, CLODUALDO), RODRIGUES, SAMUEL (RODRIGUES, SAMUEL), SILVA, HÉLIO (SILVA, HÉLIO), Gedeon Silva Reis (REIS, GEDEON), PAIVA, ANTÔNIO (PAIVA, ANTÔNIO), DOS SANTOS, JOSÉ (DOS SANTOS, JOSÉ)",A3
