numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
6744627108761351,5042024,Artigo Publicado,Deep semiÂ-supervised classification based in deep clustering and crossÂ-entropy,2021.0,,,,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,,,"Bruno Vicente Alves de Lima (LIMA, BRUNO VICENTE ALVES), NETO, ADRIÃO DUARTE DÓRIA (NETO, ADRIÃO DUARTE DÓRIA), SILVA, LÚCIA EMÍLIA SOARES (SILVA, LÚCIA EMÍLIA SOARES), MACHADO, VINICIUS PONTE (MACHADO, VINICIUS PONTE)",A4
882985338165958,29042024,Artigo Publicado,Recommending Stores for Shopping Mall Customers with RecStore,2019.0,,,,Journal of Information and Data Management - JIDM,,,"Diogo Vinícius de Sousa Silva (V. DE S. SILVA, DIOGO), DE S. SILVA, RENATO (DE S. SILVA, RENATO), A. DURÃO, FREDERICO (A. DURÃO, FREDERICO)",C
882985338165958,29042024,Artigo Publicado,Dedupeer: An Algorithm for File Deduplication Through Partitioned Processing,2019.0,,,,Journal of Convergence Information Technology,,,"Paulo Fernando Almeida Soares (SOARES, P. F. A.), DURÃO, FREDERICO ARAÚJO (DURÃO, FREDERICO ARAÚJO), Vinícius Cardoso Garcia (GARCIA, V. C.), Rodrigo Elia Assad (ASSAD, R. E.), Diogo Vinícius de Sousa Silva (SILVA, DIOGO), Anderson Fonseca e Silva (SILVA, A. F. E.), Sílvio Romero de Lemos Meira (MEIRA, S. R. L.)",A4
4581136670207086,3042024,Artigo Publicado,Artificial dissipation model applied to Euler equations for analysis of supersonic flow around a geometric configurations ramp and diffusor type,2022.0,,,,BRAZILIAN JOURNAL OF RADIATION SCIENCES,,,"Jussiê Soares da Rocha (DA ROCHA, JUSSIÊ SOARES), MACIEL, EDISSON SÁVIO DE GÓES (MACIEL, EDISSON SÁVIO DE GÓES), LIRA, CARLOS BRAYNER DE OLIVEIRA (LIRA, CARLOS BRAYNER DE OLIVEIRA), DE SOUSA, PEDRO AUGUSTO SILVA (DE SOUSA, PEDRO AUGUSTO SILVA), NETO, RAIMUNDO NONATO CORREIA (NETO, RAIMUNDO NONATO CORREIA)",B1
