numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis
2024498635058109,16112023,Artigo Publicado,Evolving Convolutional Neural Networks for Glaucoma Diagnosis,2020.0,,,,Brazilian Journal of Health Review,,,"Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), MAIA, LUCAS BEZERRA (MAIA, LUCAS BEZERRA), SANTOS, PEDRO THIAGO CUTRIM DOS (SANTOS, PEDRO THIAGO CUTRIM DOS), BRAZ JUNIOR, GERALDO (BRAZ JUNIOR, GERALDO), ALMEIDA, JOÃO D. S. DE (ALMEIDA, JOÃO D. S. DE), PAIVA, ANSELMO CARDOSO DE (PAIVA, ANSELMO CARDOSO DE)",A3
2024498635058109,16112023,Artigo Publicado,A Two-Stage Method for Polyp Detection in Colonoscopy Images Based on Saliency Object Extraction and Transformers,2023.0,,,,IEEE Access,,,"Alan Carlos de Moura Lima (LIMA, ALAN CARLOS DE MOURA), DE PAIVA, LISLE FARAY (DE PAIVA, LISLE FARAY), BRÁZ, GERALDO (BRÁZ, GERALDO), DE ALMEIDA, JOÃO DALLYSON S. (DE ALMEIDA, JOÃO DALLYSON S.), SILVA, ARISTÓFANES CORRÉA (SILVA, ARISTÓFANES CORRÉA), COIMBRA, MIGUEL TAVARES (COIMBRA, MIGUEL TAVARES), DE PAIVA, ANSELMO CARDOSO (DE PAIVA, ANSELMO CARDOSO)",A3
4270348118279051,2022024,Artigo Publicado,A Survey on Trustworthiness for the Internet of Things,2021.0,,,,IEEE Access,,,"Franklin Magalhães Ribeiro Junior (JUNIOR, FRANKLIN MAGALHAES RIBEIRO), KAMIENSKI, CARLOS ALBERTO (KAMIENSKI, CARLOS ALBERTO)",A3
4270348118279051,2022024,Artigo Publicado,Data resilience system for fog computing,2021.0,,,,Computer Networks,,,"Franklin Magalhães Ribeiro Junior (RIBEIRO JUNIOR, FRANKLIN MAGALHÃES), KAMIENSKI, CARLOS ALBERTO (KAMIENSKI, CARLOS ALBERTO)",A4
4270348118279051,2022024,Artigo Publicado,Data reduction based on machine learning algorithms for fog computing in IoT smart agriculture,2022.0,,,,BIOSYSTEMS ENGINEERING,,,"Franklin Magalhães Ribeiro Junior (RIBEIRO JUNIOR, FRANKLIN M.), BIANCHI, REINALDO A.C. (BIANCHI, REINALDO A.C.), PRATI, RONALDO C. (PRATI, RONALDO C.), KOLEHMAINEN, KARI (KOLEHMAINEN, KARI), SOININEN, JUHA-PEKKA (SOININEN, JUHA-PEKKA), KAMIENSKI, CARLOS A. (KAMIENSKI, CARLOS A.)",B2
